Counties/Boroughs Served,Agency Name,Street Address,City,Zip,Phone Number,address,lon,lat
Albany,Whitney M Young Health Center,920 Lark Drive,Albany,12207,518-465-9387,"920 Lark Drive, Albany, 12207",-73.7481209,42.6618937
Albany,Women's Health Center at Albany Medical College,220 Green Street,Albany,12202,518-432-4033,"220 Green Street, Albany, 12202",-73.7550145,42.6396173
Allegany,Allegany County Department of Health,3453B Route 417 E,Wellsville,14895,800-394-1942,"3453B Route 417 E, Wellsville, 14895",-77.9257853,42.1258915
Bronx,Bronx Lebanon Hospital Center,21 East Mount Eden Avenue,Bronx,10452,718-583-4278,"21 East Mount Eden Avenue, Bronx, 10452",-73.9141952,40.84412030000001
Bronx,Lincoln Medical and Mental Health Center,"234 East 149th Street, 1st Fl.",Bronx,10451,718-579-5397,"234 East 149th Street, 1st Fl., Bronx, 10451",-73.9240962,40.817374
Bronx,Montefiore Medical Center,22 Westchester Square,Bronx,10461,718-829-4401,"22 Westchester Square, Bronx, 10461",-73.8435363,40.8408298
Bronx,Morris Heights Health Center,85 W. Burnside Avenue,Bronx,10453,718-716-4400,"85 W. Burnside Avenue, Bronx, 10453",-73.91048839999999,40.8548497
Bronx,Morrisania Diagnostic & Treatment Center,1225 Gerard Avenue,Bronx,10452,718-960-2817,"1225 Gerard Avenue, Bronx, 10452",-73.9201851,40.8362328
Bronx,North Central Bronx Hospital,"1400 Pelham Parkway South, Bldg 1 4N Ste A",Bronx,10461,718-918-4000,"1400 Pelham Parkway South, Bldg 1 4N Ste A, Bronx, 10461",-73.84637239999999,40.8547222
Bronx,St Barnabas Hospital,"2021 Grand Concourse, 1st Fl",Bronx,10453,718-901-9510,"2021 Grand Concourse, 1st Fl, Bronx, 10453",-73.90448909999999,40.8519529
Bronx,Urban Health Plan,1070 Southern Boulevard,Bronx,10459,718-589-4776,"1070 Southern Boulevard, Bronx, 10459",-73.8915975,40.8253369
Bronx,Public Health Solutions,519 East Tremont Ave,Bronx,10457,718-294-6887,"519 East Tremont Ave, Bronx, 10457",-73.896374,40.846847
Bronx,Montefiore New Rochelle,3401 White Plains Rd,Bronx,10467,718-547-6345,"3401 White Plains Rd, Bronx, 10467",-73.8672756,40.8754301
Broome,Broome County Health Department,225 Front Street,Binghamton,13905,607-778-2881,"225 Front Street, Binghamton, 13905",-75.9167228,42.1052726
